Stock Code,Investment2019
601118,196238.4895
600397,10979.28571
2198,
826,
600395,70000.83718
600740,88660.34506
600409,109159.116
2110,245810.5699
960,322414.8795
600592,54531.40735
927,103445.4183
600679,8590.127861
600537,
590,
600211,
40,
767,
600396,
600868,
407,
600333,
600283,
2061,
600068,
600463,
600846,
520,
300698,
96,
600335,
600861,
600696,
415,
571,
600212,
600153,
600054,
2066,27682.82777
603959,
600086,
601975,
600083,
600108,25174.04326
300777,4488.418144
600516,340030.1774
2826,
900902,
603321,5485.27221
2843,3605.868
600202,
2058,
419,
603787,1254.923136
600099,11669.966
600731,22687.2651
2774,2460.024054
966,
600747,
300539,2653.351445
2013,169412.3547
600797,
603067,21992.13657
601900,
600184,-6292.019973
601015,65910.86521
600063,24704.81859
768,1281437.114
691,
600895,
600080,
727,
2219,
155,
600279,
600764,
158,
600369,
69,
600743,
757,
2054,43865.36247
600421,13537.92666
901,-11059.34526
2882,
2806,
600694,
600712,
600061,
603668,8896.813837
600096,97711.92399
603386,
895,292208.9672
910,57696.44397
300803,
600278,
600901,
600532,11766.79381
600197,129104.6096
878,221653.09
650,
600919,
973,100896.4578
600426,223447.1519
600727,34484.64521
600195,
928,
413,
600060,
524,
600576,
600313,42440.48735
576,18775.0798
600517,
600789,
687,
46,
818,195342.4449
2848,
2939,
782,33582.85272
300589,7129.044621
600022,252648.5544
2082,11787.70178
625,1046028.933
600020,
600280,
2803,
600600,573899.0826
600213,16921.443
513,
883,
600116,
600193,
89,
600291,
686,
573,
2046,8953.978932
600495,31298.48694
601789,
600209,
2079,
698,36189.86729
600172,22934.74699
890,18978.6555
600984,55755.44539
600299,
600236,
600009,
600909,
600235,39394.30775
600135,45803.18978
534,
2036,
2915,6285.744183
601368,
300460,
603977,9065.922879
603688,23902.27059
600126,253273.5204
600798,
601939,
718,
603655,7568.46613
600282,177051.0085
600166,61599.19356
737,9460.387531
611,5372.096333
903,12171.90171
600704,
983,145349.0921
600597,219236.3649
930,39509.52669
2125,10844.78737
600507,201020.478
600867,
600767,
603003,
601555,
600675,
600683,
603026,82720.16032
300772,5511.09153
603318,116835.2995
600222,
900903,
600075,60082.00687
300593,
600171,
2855,
2840,13762.52568
300662,
600980,
600138,
830,90047.88795
600378,17581.68219
603638,182143.8697
603766,60320.22491
66,
600784,
600256,443112.8707
975,118817.2333
600458,44399.70912
2092,120112.7432
601600,318162.3799
600468,
600824,
600716,
2103,
600805,
600097,21880.71547
600122,
2015,
601866,
967,
300528,
300527,153047.5116
2037,14739.90231
600033,
603128,
600363,
600540,26372.27916
600403,150442.253
600170,
600978,42282.89263
887,174730.4017
572,59349.45556
600698,2914.70062
597,
601991,
600323,
2083,106834.814
600963,23515.64409
600062,
600538,
600811,
2064,71699.54184
600449,50136.95519
603100,
797,
685,
603603,
713,60991.39893
600486,179164.6814
603879,6812.076326
603633,
601001,65480.60026
888,
600128,
600790,
603826,27593.82416
600819,22194.18451
600569,49475.88756
612,34686.59729
600459,62958.41462
800,-42112.96297
600520,
2747,
600750,
600891,
2214,
600723,
600223,
600246,
430,
58,
603718,
63,
601881,
300364,
922,
603316,
600201,
603323,
603036,30189.35501
600125,
601858,
2770,8894.112776
2076,
720,
978,
600039,
300493,
601058,125664.3139
600326,59939.1295
603159,21191.8263
300455,
2116,
600782,121917.2728
2009,31166.95939
603111,17280.77696
2813,
762,25965.32555
876,201765.0992
523,60074.9707
603283,107449.4757
2033,
300492,
600168,
300655,31721.86144
603882,
899,
2246,18702.45199
600719,
601139,
600684,
600423,47525.96361
600539,17562.33161
2160,3991.970446
600893,238563.3261
601158,
2238,
600718,
631,
600890,
420,27165.06888
688108,3098.827757
601838,
750,
600467,24982.7805
600275,12092.85329
600997,123727.9364
881,31170.10389
600389,88884.90146
600490,44761.11274
600178,20351.85152
600129,
600557,
600851,
600509,
2025,
601929,
918,
300401,82462.69459
600186,42813.00476
603009,32463.83268
600104,1511820.689
600056,
603501,
600241,
753,
2012,21753.88182
2895,17168.94488
600325,
300599,3705.511819
600094,
603721,
702,4618.503349
600365,8562.5164
603196,16493.56399
600085,
690,
885,
600575,
600356,13531.27413
839,
600305,61347.60788
600105,
601811,
601899,312412.8237
300431,
600196,
673,
300634,
601020,61073.79688
2722,22221.24266
2941,
600584,
529,25388.74077
600987,34950.71208
600388,211260.8473
600526,50382.07214
738,450754.5703
600967,104619.4486
623,
600227,
600207,
600562,
600981,
728,
603598,
603707,
2743,15428.88568
603829,
766,
798,26077.08501
600481,
603189,
603085,11743.79088
300663,
600339,32810.92495
600702,47514.01946
600372,7266.120845
300480,
2761,
712,
2053,9937.109815
600596,73974.707
2030,
600036,
2670,
600340,
2002,123176.1247
603966,12513.47135
729,85267.51315
600531,62563.53426
2031,83581.8881
603687,17033.63181
600734,
603222,
601077,
2003,21939.40128
603648,
603,89405.18848
600581,133983.9409
601989,290616.6095
600690,
2050,68701.9997
600428,
300632,
